"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 10","5,679.64","5,354.52","5,742.75","5,354.52","25.03B","6.07%"
"Feb 10","5,354.52","5,188.52","5,395.48","5,033.01","25.45B","3.20%"
"Jan 10","5,188.52","5,412.88","5,600.48","5,145.74","22.41B","-4.14%"
"Dec 09","5,412.88","5,190.68","5,445.17","5,175.66","20.44B","4.28%"
"Nov 09","5,190.68","5,044.55","5,396.96","4,985.09","21.82B","2.90%"
"Oct 09","5,044.55","5,133.90","5,299.57","4,954.98","24.45B","-1.74%"
"Sep 09","5,133.90","4,908.90","5,190.00","4,776.50","22.52B","4.58%"
"Aug 09","4,908.90","4,608.36","4,944.16","4,595.58","20.62B","6.52%"
"Jul 09","4,608.36","4,249.21","4,646.86","4,096.08","22.71B","8.45%"
"Jun 09","4,249.21","4,417.94","4,517.60","4,213.40","25.38B","-3.82%"
"May 09","4,417.94","4,243.71","4,520.82","4,210.75","22.93B","4.11%"
"Apr 09","4,243.71","3,926.14","4,293.63","3,838.22","25.14B","8.09%"
"Mar 09","3,926.14","3,830.09","3,992.42","3,460.71","32.52B","2.51%"
"Feb 09","3,830.09","4,149.64","4,333.97","3,760.70","24.62B","-7.70%"
"Jan 09","4,149.64","4,434.17","4,675.68","3,956.67","27.43B","-6.42%"
"Dec 08","4,434.17","4,288.01","4,456.19","3,973.26","20.07B","3.41%"
"Nov 08","4,288.01","4,377.34","4,639.50","3,734.07","26.77B","-2.04%"
"Oct 08","4,377.34","4,902.50","5,052.00","3,665.21","39.42B","-10.71%"
"Sep 08","4,902.45","5,636.60","5,646.50","4,671.00","34.05B","-13.02%"
"Aug 08","5,636.61","5,411.90","5,649.10","5,299.70","23.50B","4.15%"
"Jul 08","5,411.90","5,625.90","5,625.90","5,071.10","38.13B","-3.80%"
"Jun 08","5,625.90","6,053.50","6,074.50","5,470.90","30.96B","-7.06%"
"May 08","6,053.50","6,087.30","6,377.00","6,041.10","23.31B","-0.56%"
"Apr 08","6,087.30","5,702.10","6,134.50","5,670.40","25.27B","6.76%"
"Mar 08","5,702.11","5,884.30","5,884.30","5,414.40","30.22B","-3.10%"
"Feb 08","5,884.28","5,879.80","6,104.50","5,681.50","28.41B","0.08%"
"Jan 08","5,879.78","6,456.90","6,534.70","5,338.70","34.40B","-8.94%"
"Dec 07","6,456.91","6,432.50","6,610.90","6,251.80","19.60B","0.38%"
"Nov 07","6,432.45","6,721.60","6,723.70","6,026.90","32.52B","-4.30%"
"Oct 07","6,721.57","6,466.80","6,751.70","6,413.40","41.48B","3.94%"
"Sep 07","6,466.79","6,303.30","6,512.40","6,123.10","35.73B","2.59%"
"Aug 07","6,303.30","6,360.10","6,406.30","5,821.70","38.48B","-0.89%"
"Jul 07","6,360.11","6,607.90","6,754.10","6,186.20","38.49B","-3.75%"
"Jun 07","6,607.90","6,621.40","6,751.30","6,451.40","39.62B","-0.20%"
"May 07","6,621.45","6,449.20","6,675.00","6,395.50","40.05B","2.67%"
"Apr 07","6,449.21","6,308.00","6,516.20","6,293.90","31.55B","2.24%"
"Mar 07","6,308.03","6,171.50","6,355.30","5,989.60","40.66B","2.21%"
"Feb 07","6,171.47","6,203.10","6,451.40","6,166.20","33.11B","-0.51%"
"Jan 07","6,203.09","6,220.80","6,335.10","6,130.20","36.90B","-0.28%"
"Dec 06","6,220.81","6,048.80","6,271.40","5,985.20","25.40B","2.84%"
"Nov 06","6,048.85","6,129.20","6,256.80","6,011.80","35.41B","-1.31%"
"Oct 06","6,129.22","5,960.80","6,244.60","5,897.30","34.76B","2.83%"
"Sep 06","5,960.81","5,906.10","6,002.90","5,774.50","31.84B","0.93%"
"Aug 06","5,906.13","5,928.30","5,949.80","5,752.60","29.78B","-0.37%"
