TIME,FTSE,BCBUTE02,BRBUFT02,BRVSLV02,BSSPFT02,BVBUTE02,CCUSMA02,CP080000,CSINFT,LOCOSTNO,PIEAMI01,SLRTCR03,XTEXVA01
1998-05-31,5832.60009765625,-6.670967741935483,11.764516129032259,17.20967741935484,-16.025806451612905,20.229032258064514,30.997632564901398,50.74677419354839,35.36774193548386,101.25790613982069,79.7883354423099,58.34567412791053,-3.1388666694126464
1998-06-01,5832.750097656251,-6.8,11.4,17.2,-16.2,20.2,30.987160758186203,50.75,35.6,101.258383105638,79.7883354423099,58.43891066447004,-3.10939919217017
1998-06-30,5837.10009765625,-5.156666666666666,4.053333333333334,22.61333333333333,-9.239999999999998,5.023333333333333,31.695517921770524,50.315,35.6,101.24156164574416,79.7883354423099,37.896338624160016,-8.791133891672892
1998-07-01,5818.142026839718,-5.1,3.8,22.8,-9.0,4.5,31.719944030859644,50.3,35.6,101.240981595403,79.7883354423099,37.187974071045886,-8.98705577786264
1998-07-31,5249.39990234375,-7.616129032258066,6.50967741935484,24.83225806451613,-13.35483870967742,5.080645161290323,30.81440329702872,49.18709677419354,34.34193548387097,101.17426034943236,79.7883354423099,101.82376827632409,-4.464324479321144
1998-08-01,5243.432160408266,-7.7,6.6,24.9,-13.5,5.1,30.784218605901017,49.15,34.3,101.17203630790002,79.7883354423099,103.97829474983335,-4.31356676936976
1998-08-31,5064.39990234375,-2.4741935483870967,1.2774193548387098,24.80322580645161,-10.596774193548388,5.293548387096774,28.960376738530698,48.85967741935484,31.59032258064516,101.04518144858257,79.7883354423099,56.57993237403672,-2.92364272368307
1998-09-01,5076.866569010417,-2.3,1.1,24.8,-10.5,5.3,28.89958200961836,48.85,31.5,101.040952953272,79.7883354423099,54.999986961510174,-2.8773119221601804
1998-09-30,5438.39990234375,-5.1033333333333335,-24.130000000000006,22.96333333333333,-15.816666666666665,-6.783333333333332,29.017903930481896,48.94666666666666,23.09,100.85450236682614,79.7883354423099,51.324040345566274,-4.1791894921901855
1998-10-01,5447.94677734375,-5.2,-25.0,22.9,-16.0,-7.2,29.021983996718568,48.95,22.8,100.84807303625901,79.7883354423099,51.19728356570614,-4.22408182219122
1998-11-01,5743.89990234375,-2.0,17.9,21.9,-25.8,-7.2,31.390696582567898,48.75,19.0,100.60137291084101,79.7883354423099,51.81146581048106,-7.67531214277135
1998-12-01,5882.60009765625,-5.7,-19.8,19.7,-27.3,-7.3,30.453143200521154,48.75,17.3,100.317941422083,79.7883354423099,46.059305119607664,-10.8934873508111
1999-01-01,5896.0,-5.3,-9.1,21.2,-28.2,10.8,30.77340285527077,48.85,15.5,100.02896411183501,79.7883354423099,56.73425958985328,-6.725436453009371
1999-02-01,6175.10009765625,-3.7,2.4,19.6,-22.8,10.4,31.765957138378663,48.9,15.2,99.7701225364024,79.7883354423099,43.18920316332835,-7.71817095863111
